"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000165705","1.0","0000001289","SOAN","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition. This course is open to first-year students or students in certain accredited programs. Open to all students when taught during the summer. Offered each semester. Also counts toward race and ethnic studies and gender and sexuality studies majors and gender and sexuality studies concentration.","2","PAR;SCS","","Sidonia Alenuma","S","100","6","Intro to Sociology","","121","","False","False","A","4","O","20244","Introduction to Sociology","Research","2024"
"0000165707","1.0","0000001306","SOAN","Students explore the continuing significance of color, class, and immigration in the U.S., with a focus on the experiences and concerns of African Americans, Native Americans, Hispanics/Latinos, and Asian-Americans. The course examines the nature and functions of prejudice; the relationship among race, class and gender; the persistence of racism and inequality; and social policies and social movements intended to create greater social justice. Offered annually in the fall or spring semester. Also counts toward Latin American studies and race and ethnic studies majors; and Africa and the African Diaspora, educational studies, Latin American studies, business and management studies, and race and ethnic studies concentrations.","3","PAR;SCS","","Sidonia Alenuma","S","200","6","Race/Class-Am Culture","","264","","False","False","","4","O","20244","Race and Class in American Culture","Research","2024"
"0000165853","1.0","0000026169","GSS","Required for the gender and sexuality studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as gendered individuals living in a gendered society - all genders are encouraged to participate! Offered each semester. Also counts toward educational studies concentration.","5","","","Lau M. Malaver","A","100","12","Intro Gender/Sexuality St","","121","","False","False","","4","O","20244","Introduction to Gender and Sexuality Studies","Research","2024"
"0000165933","1.0","0000001197","REL","Students examine traditional Christian doctrines in light of feminist critiques and reformulations. The course focuses especially upon language and images of God, the person of Christ and the work of redemption and understandings of human nature. Students evaluate arguments for and against the compatibility of Christianity and feminism. Offered periodically. Also counts toward gender and sexuality studies major and concentration.","13","CTD","","Trish Zimmerman","A","200","24","Intro Feminist Theol","","209","","False","False","","4","O","20244","Introduction to Feminist Theology","Research","2024"
"0000165934","1.0","0000037469","REL","Are religion and science in conflict? They have experienced significant tensions yet they owe much to each other. This course introduces students to science and religion in the modern era and how they map out distinct territories. Students examine the mutual influence of science and religion in forming conceptions about what nature, fact, and belief are, and how these notions have changed. Students investigate topics such as the denial of science, human origins, and emergence.","11","RFV","","Gregory A. Walter","A","200","24","Religion and Science","","265","","False","False","","4","O","20244","","Research","2024"
"0000165999","1.0","0000027940","ART","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","14","GHS","","Hannah Ryan","A","100","24","Intro to Art History","","153","","False","False","","4","O","20244","Introduction to Art History","Research","2024"
"0000166033","1.0","0000001154","PSYCH","This whirlwind introduction comprehensively examines foundational principles, theoretical approaches, and major areas of study within psychology. Acting as skeptical scientists, students gain another lens on the human experience by which they can better understand themselves and others. Students see psychology as a science and challenge ""common sense"" explanations about how people function. This gateway course captures the essence of the liberal arts, applying to almost any career choice. Offered each semester. Also counts toward nursing, social studies education, and social work majors and educational studies concentration.","2","SCS","","Gary M. Muir","A","100","24","Principles: Psych","","125","","False","False","","4","O","20244","Principles of Psychology","Research","2024"
"0000166034","0.25","0000001011","KINES","Students learn and apply the basic principles of fitness through a variety of aerobic activities.","5","ACB","","Bob Hauck","S","100","20","Aerobics","","131","","False","False","","4","O","20244","","Research","2024"
"0000166342","1.0","0000024281","WRIT","This course prepares McNair Scholars for the rigors of academic writing. Because the enrolled students represent a variety of disciplines, this course serves as a general introduction to writing in research; it is not meant to replace discipline-specific research methods or writing courses. Students read scholarly literature in their disciplines, write a literature review, draft various sections of a research paper, and prepare for a formal poster presentation. Offered every summer. Prerequisite: successful completion of Writing and Rhetoric.","8","WAC","","Jean C. Porterfield","S","200","9","McNair Research Writing","Open only to McNair Scholars.;Course dates are June 3 to July 24.","237","{'day': 'Tu', 'end': '13:30', 'location': 'TOH 316', 'start': '11:00'};{'day': 'Th', 'end': '13:30', 'location': 'TOH 316', 'start': '11:00'}","False","successful completion of Writing and Rhetoric.","","4","O","20244","McNair Research Writing Across the Disciplines","Research","2024"
"0000166444","-1.0","0000001257","REL","","1","OEP","","Charles Wilson","S","300","0","IR/Emerson and German Idealism","","398","","False","False","A","4","C","20244","Independent Research","Research","2024"
"0000166740","1.0","0000000712","LATIN","In this two-course sequence students learn the basics of classical Latin. By studying the language's vocabulary, grammar, and syntax, they not only gain appreciation for its intricacies and nuances but also learn more about their own language and about language in general. Completion of both LATIN 111 and LATIN 112 equips students to translate almost any classical Latin text with the aid of a dictionary. Offered annually in the spring semester. Prerequisite: LATIN 111 or equivalent.","1","","","Anne Groton","S","100","1","Beginning Latin II","This is a special offering.","112","","False","LATIN 111 or equivalent.","","4","C","20244","","Research","2024"

